"","NSEI.Adjusted"
"454",4568.549805
"455",4572.299805
"456",4564.100098
"457",4513.5
"458",4571.450195
"459",4636.450195
"460",4711.399902
"461",4680.5
"462",4694.149902
"463",4585.5
"464",4481.399902
"465",4437.649902
"466",4471.350098
"467",4457.5
"468",4605
"469",4580.049805
"470",4387.899902
"471",4458.899902
"472",4394.100098
"473",4453.450195
"474",4528.799805
"475",4642.799805
"476",4659.350098
"477",4680.850098
"478",4688.200195
"479",4732.350098
"480",4662.100098
"481",4625.350098
"482",4608.350098
"483",4593.549805
"484",4680.399902
"485",4782.899902
"486",4805.25
"487",4814.25
"488",4819.399902
"489",4829.549805
"490",4808.600098
"491",4892.100098
"492",4958.399902
"493",4965.549805
"494",4976.049805
"495",5020.200195
"496",4969.950195
"497",4986.549805
"498",4958.950195
"499",5006.850098
"500",5083.950195
"501",5083.399902
"502",5003.200195
"503",5027.399902
"504",4985.75
"505",5002.25
"506",4945.200195
"507",5054.25
"508",NA
"509",5118.200195
"510",5108.850098
"511",5142.149902
"512",5114.450195
"513",5063.600098
"514",4988.600098
"515",4997.049805
"516",4970.899902
"517",4846.700195
"518",4826.149902
"519",4750.549805
"520",4711.700195
"521",4563.899902
"522",4710.799805
"523",4765.549805
"524",4796.149902
"525",4898.399902
"526",4881.700195
"527",5003.950195
"528",4952.649902
"529",4998.950195
"530",5058.049805
"531",5062.25
"532",5054.700195
"533",4989
"534",5052.450195
"535",5103.549805
"536",5090.549805
"537",5108.149902
"538",5005.549805
"539",4941.75
"540",5032.700195
"541",5122
"542",5123.25
"543",5131.700195
"544",5108.899902
"545",5066.700195
"546",5147.950195
"547",5112
"548",5134.649902
"549",5117.299805
"550",5105.700195
"551",5033.049805
"552",5042.049805
"553",5041.75
"554",4987.700195
"555",4952.600098
"556",4985.850098
"557",5144.600098
"558",5178.399902
"559",5187.950195
"560",5169.450195
"561",5201.049805
"562",5232.200195
"563",5277.899902
"564",5281.799805
"565",5263.100098
"566",5244.75
"567",5249.399902
"568",5210.399902
"569",5233.950195
"570",5259.899902
"571",5252.200195
"572",5274.850098
"573",5225.649902
"574",5221.700195
"575",5094.149902
"576",5036
"577",5007.899902
"578",4853.100098
"579",4867.25
"580",4882.049805
"581",4899.700195
"582",4830.100098
"583",4931.850098
"584",4845.350098
"585",4718.649902
"586",NA
"587",4760.399902
"588",4792.649902
"589",4757.200195
"590",4826.850098
"591",4801.950195
"592",4855.75
"593",4914
"594",4887.75
"595",4844.899902
"596",4856.399902
"597",4870.049805
"598",4858.600098
"599",4859.75
"600",4922.299805
"601",5017
"602",5088.100098
"603",5080.25
"604",5088.700195
"605",5124
"606",5101.5
"607",5116.25
"608",5133.399902
"609",5137
"610",5128.899902
"611",5198.100098
"612",5231.899902
"613",5245.899902
"614",5262.799805
"615",5205.200195
"616",5225.299805
"617",5260.399902
"618",5282
"619",5302.850098
"620",5262.450195
"621",5249.100098
"622",5290.5
"623",5368.399902
"624",5366
"625",5374.649902
"626",5304.450195
"627",5361.75
"628",5339.700195
"629",5322.950195
"630",5273.600098
"631",5262.600098
"632",5203.649902
"633",5230.100098
"634",5244.899902
"635",5269.350098
"636",5304.100098
"637",5322.450195
"638",5308.350098
"639",5215.450195
"640",5254.149902
"641",5278
"642",5222.75
"643",5148.5
"644",5124.899902
"645",5090.850098
"646",5018.049805
"647",5193.600098
"648",5136.149902
"649",5156.649902
"650",5178.899902
"651",5093.5
"652",5059.899902
"653",5066.200195
"654",4919.649902
"655",4947.600098
"656",4931.149902
"657",4943.950195
"658",4806.75
"659",4917.399902
"660",5003.100098
"661",5066.549805
"662",5086.299805
"663",4970.200195
"664",5019.850098
"665",5110.5
"666",5135.5
"667",5034
"668",4987.100098
"669",5000.299805
"670",5078.600098
"671",5119.350098
"672",5197.700195
"673",5222.350098
"674",5233.350098
"675",5274.850098
"676",5262.600098
"677",5353.299805
"678",5316.549805
"679",5323.149902
"680",5320.600098
"681",5269.049805
"682",5333.5
"683",5256.149902
"684",5312.5
