"","NSEBANK.Adjusted"
"491",8210.700195
"492",8362.799805
"493",8433.349609
"494",8379.25
"495",8452
"496",8423.700195
"497",8545
"498",8456.25
"499",8487.700195
"500",8812.349609
"501",8861.049805
"502",8661.700195
"503",8808.400391
"504",8750
"505",8834.599609
"506",8696.799805
"507",8963.799805
"508",NA
"509",9150
"510",9296.75
"511",9526.700195
"512",9476.400391
"513",9273.049805
"514",9090.099609
"515",9188.400391
"516",9033.849609
"517",8698.799805
"518",8609.099609
"519",8417.849609
"520",8438.599609
"521",8255.450195
"522",8506.75
"523",8537.200195
"524",8723.75
"525",9137.5
"526",9179.5
"527",9337.599609
"528",9084.799805
"529",9155.650391
"530",9266.400391
"531",9299.599609
"532",9223.849609
"533",9041.650391
"534",9219.049805
"535",9274.099609
"536",9247.650391
"537",9303.150391
"538",9067.650391
"539",8945.049805
"540",9046.950195
"541",9250.950195
"542",9327.25
"543",9345.25
"544",9245.049805
"545",9175.599609
"546",9290.099609
"547",9146.349609
"548",9205.650391
"549",9097.200195
"550",8996.75
"551",8734.450195
"552",8667.400391
"553",8697.200195
"554",8599.950195
"555",8609.549805
"556",8712.5
"557",8919.049805
"558",8968.099609
"559",8991.900391
"560",8994.599609
"561",9029.5
"562",9112.349609
"563",9192.150391
"564",9223
"565",9192.950195
"566",9160.700195
"567",9173.549805
"568",8985.099609
"569",8926.099609
"570",8910.799805
"571",8911.099609
"572",9093.25
"573",9135.900391
"574",9126.349609
"575",8919.299805
"576",8772.650391
"577",8696.599609
"578",8329.799805
"579",8423.849609
"580",8651.549805
"581",8649.25
"582",8468.150391
"583",8631.849609
"584",8471.099609
"585",8223.25
"586",NA
"587",8342.200195
"588",8392.450195
"589",8290
"590",8381.400391
"591",8312.700195
"592",8397.799805
"593",8551.5
"594",8573.900391
"595",8487.099609
"596",8493.349609
"597",8512.950195
"598",8504.549805
"599",8537.799805
"600",8722.75
"601",8922.099609
"602",9039.450195
"603",9013.799805
"604",9038.450195
"605",9145.950195
"606",9138.200195
"607",9119.25
"608",9186.849609
"609",9172.900391
"610",9085.5
"611",9102.950195
"612",9188.400391
"613",9252.299805
"614",9270.799805
"615",9186.950195
"616",9222.900391
"617",9318.25
"618",9456.200195
"619",9517.599609
"620",9470.299805
"621",9459.599609
"622",9507.75
"623",9698.599609
"624",9728.200195
"625",9681.049805
"626",9520
"627",9656.5
"628",9575.450195
"629",9483
"630",9344.599609
"631",9353.75
"632",9302.900391
"633",9446.099609
"634",9555.299805
"635",9623.25
"636",9813.299805
"637",9839.150391
"638",9756.450195
"639",9634.900391
"640",9803.799805
"641",9870.349609
"642",9775.5
"643",9623.700195
"644",9581.849609
"645",9582
"646",9276.099609
"647",9656.25
"648",9626.099609
"649",9722.200195
"650",9773.349609
"651",9589.049805
"652",9526.5
"653",9492.25
"654",9108.349609
"655",9174.599609
"656",9135.700195
"657",9087.25
"658",8851.75
"659",9027.599609
"660",9258.450195
