Date	Price	Open	High	Low	Change
09-Nov-14	114.18	109.02	114.19	108.4	4.74
16-Nov-14	116.47	114.27	117.57	113.3	2.01
23-Nov-14	118.93	116.85	119.75	116.62	2.11
30-Nov-14	115	118.81	119.25	111.27	-3.3
07-Dec-14	109.73	114.1	114.85	109.35	-4.58
14-Dec-14	111.78	110.7	113.24	106.26	1.87
21-Dec-14	113.99	112.16	114.52	111.97	1.98
28-Dec-14	109.33	113.79	114.77	107.35	-4.09
04-Jan-15	112.01	108.29	113.25	104.63	2.45
11-Jan-15	105.99	112.6	112.8	105.2	-5.37
18-Jan-15	112.98	107.84	113.75	106.5	6.59
25-Jan-15	117.16	113.74	120	109.03	3.7
01-Feb-15	118.93	118.05	120.51	116.08	1.51
08-Feb-15	127.08	118.55	127.48	118.43	6.85
15-Feb-15	129.5	127.49	129.5	126.92	1.9
22-Feb-15	128.46	130.02	133.6	126.61	-0.8
01-Mar-15	126.6	129.25	130.28	125.76	-1.45
08-Mar-15	123.59	127.96	129.57	121.63	-2.38
15-Mar-15	125.9	123.88	129.25	122.87	1.87
22-Mar-15	123.25	127.12	128.04	122.6	-2.1
29-Mar-15	125.32	124.05	126.49	123.1	1.68
05-Apr-15	127.1	124.47	128.12	124.33	1.42
12-Apr-15	124.75	128.37	128.57	124.46	-1.85
19-Apr-15	130.28	125.57	130.63	125.17	4.43
26-Apr-15	128.95	132.31	134.54	124.58	-1.02
03-May-15	127.62	129.5	130.57	123.36	-1.03
10-May-15	128.77	127.39	129.49	124.82	0.9
17-May-15	132.54	128.38	132.97	128.36	2.93
24-May-15	130.28	132.6	132.91	129.12	-1.71
31-May-15	128.65	131.2	131.39	128.36	-1.25
07-Jun-15	127.17	128.9	130.18	125.62	-1.15
14-Jun-15	126.6	126.1	128.31	125.71	-0.45
21-Jun-15	126.75	127.49	129.8	126.51	0.12
28-Jun-15	126.44	125.46	126.94	124.48	-0.24
05-Jul-15	123.28	124.94	126.23	119.22	-2.5
12-Jul-15	129.62	125.03	129.62	124.32	5.14
19-Jul-15	124.5	130.97	132.97	121.99	-3.95
26-Jul-15	121.3	123.09	123.91	120.91	-2.57
02-Aug-15	115.52	121.5	122.57	112.1	-4.77
09-Aug-15	115.96	116.53	119.99	109.63	0.38
16-Aug-15	105.76	116.04	117.65	105.64	-8.8
23-Aug-15	113.29	94.87	113.31	92	7.12
30-Aug-15	109.27	112.03	114.53	107.36	-3.55
06-Sep-15	114.21	111.65	114.21	109.77	4.52
13-Sep-15	113.45	116.58	116.89	111.87	-0.67
20-Sep-15	114.71	113.67	116.69	112.37	1.11
27-Sep-15	110.38	113.85	114.57	107.31	-3.77
04-Oct-15	112.12	109.88	112.28	108.21	1.58
11-Oct-15	111.04	112.73	112.75	109.56	-0.96
18-Oct-15	119.08	110.8	119.23	110.11	7.24
25-Oct-15	119.5	118.08	121.22	113.99	0.35
01-Nov-15	121.06	119.87	123.82	119.61	1.31
08-Nov-15	112.34	120.96	121.81	112.27	-7.2
15-Nov-15	119.3	111.38	119.92	111	6.2
22-Nov-15	117.81	119.27	119.73	117.12	-1.25
29-Nov-15	119.03	117.99	119.41	114.22	1.04
06-Dec-15	113.18	118.98	119.86	112.85	-4.91
13-Dec-15	106.03	112.18	112.8	105.81	-6.32
20-Dec-15	108.03	107.28	109	105.57	1.89
27-Dec-15	105.26	107.59	109.43	104.82	-2.56
03-Jan-16	96.96	102.61	105.85	96.43	-7.89
10-Jan-16	97.13	98.97	101.19	95.36	0.18
17-Jan-16	101.42	98.41	101.46	93.42	4.42
24-Jan-16	97.34	101.52	101.53	92.39	-4.02
31-Jan-16	94.02	96.47	97.33	93.69	-3.41
07-Feb-16	93.99	93.13	96.35	92.59	-0.03
14-Feb-16	96.04	95.02	98.89	94.61	2.18
21-Feb-16	96.91	96.31	98.02	93.32	0.91
28-Feb-16	103.01	96.86	103.75	96.65	6.29
06-Mar-16	102.26	102.39	102.83	100.15	-0.73
13-Mar-16	105.92	101.91	106.5	101.78	3.58
20-Mar-16	105.67	105.93	107.65	104.89	-0.24
27-Mar-16	109.99	106	110.42	104.88	4.09
03-Apr-16	108.66	110.42	112.19	108.12	-1.21
10-Apr-16	109.85	108.97	112.39	108.66	1.1
17-Apr-16	105.68	108.89	108.95	104.62	-3.8
24-Apr-16	93.74	105	105.65	92.51	-11.3
01-May-16	92.72	93.97	95.9	91.85	-1.09
08-May-16	90.52	93	93.77	89.47	-2.37
15-May-16	95.22	92.39	95.43	91.65	5.19
22-May-16	100.35	95.87	100.73	95.67	5.39
29-May-16	97.92	99.6	100.4	96.63	-2.42
05-Jun-16	98.83	97.99	101.89	97.55	0.93
12-Jun-16	95.33	98.69	99.12	95.3	-3.54
19-Jun-16	93.4	96	96.89	92.65	-2.02
26-Jun-16	95.89	93	96.47	91.5	2.67
03-Jul-16	96.68	95.39	96.89	94.37	0.82
10-Jul-16	98.78	96.75	99.3	96.73	2.17
