Date,Open,High,Low,Close,,
09-Jul-10,17667.85,17857.58,17667.85,17833.54,0.010247158,0.01
12-Jul-10,17875.97,18010.07,17874.95,17937.2,0.005795815,0.01
13-Jul-10,17908.3,17998.04,17855.85,17985.9,0.002711349,0
14-Jul-10,18024.95,18167.22,17897.26,17938.16,-0.00265783,0
15-Jul-10,17874.71,17978.56,17858.73,17909.46,-0.001601222,0
16-Jul-10,17911.13,17980.27,17892.16,17955.82,0.002585232,0
19-Jul-10,17914.12,18005.07,17856.4,17928.42,-0.001527133,0
20-Jul-10,17918.43,18040.17,17848.07,17878.14,-0.002808426,0
21-Jul-10,17873.92,18012.2,17873.92,17977.23,0.00552722,0.01
22-Jul-10,17978.37,18127.9,17879.88,18113.15,0.007532237,0.01
23-Jul-10,18132.29,18237.56,18093.93,18130.98,0.000983884,0
26-Jul-10,18056.24,18194.09,17993.88,18020.05,-0.00613705,-0.01
27-Jul-10,17998.74,18149.56,17998.74,18077.61,0.003189129,0
28-Jul-10,18077.85,18137.14,17925.4,17957.37,-0.00667354,-0.01
29-Jul-10,17961.58,18013.1,17902.84,17992,0.001926599,0
30-Jul-10,17981.06,18000.35,17838.92,17868.29,-0.006899581,-0.01
02-Aug-10,17911.31,18104.24,17911.31,18081.21,0.011845644,0.01
03-Aug-10,18149.9,18167.45,18072.38,18114.83,0.001857662,0
04-Aug-10,18115.56,18249.46,18093.03,18217.44,0.005648437,0.01
05-Aug-10,18234.85,18295.43,18156.45,18172.83,-0.002451756,0
06-Aug-10,18165.49,18244.56,18118.19,18143.99,-0.001588245,0
09-Aug-10,18141.11,18309.25,18139.9,18287.5,0.00787839,0.01
10-Aug-10,18272.28,18293.4,18170.77,18219.99,-0.003698423,0
11-Aug-10,18177.35,18263.88,18042.89,18070.19,-0.008255724,-0.01
12-Aug-10,17972.65,18113.62,17914.78,18073.9,0.000205289,0
13-Aug-10,18080.29,18260.39,18050.42,18167.03,0.005139504,0.01
16-Aug-10,18169.8,18203.92,17997.46,18050.78,-0.006419516,-0.01
17-Aug-10,18049.19,18140.15,18026,18048.85,-0.000106926,0
18-Aug-10,18067.67,18286,18067.67,18257.12,0.01147317,0.01
19-Aug-10,18276.5,18475.27,18276.5,18454.94,0.010776944,0.01
20-Aug-10,18444.24,18464.14,18360.9,18401.82,-0.002882513,0
23-Aug-10,18400.33,18454.38,18371.02,18409.35,0.000409115,0
24-Aug-10,18407.01,18451.73,18260.71,18311.59,-0.005324495,-0.01
25-Aug-10,18308.51,18312.43,18156,18179.64,-0.007231906,-0.01
26-Aug-10,18194.78,18261.06,18159.13,18226.35,0.002566063,0
27-Aug-10,18205.9,18248.36,17944.16,17998.41,-0.012584929,-0.01
30-Aug-10,18063.48,18216.5,17960.23,18032.11,0.001870637,0
