time,Price,Open,High,Low,Vol.,Change_g,Change_cal,Change_r,Change_ln,oil,sensex
126,72.74,72.86,73.52,71.78,239.22K,0.0034,0.344875155,0.34,0.003442818,0,0.02
127,69.96,71,73.36,69.13,276.97K,-0.0382,-3.82183118,-3.82,-0.038967789,-0.04,0.02
128,68.05,69.85,71.37,68,336.84K,-0.0273,-2.730131504,-2.73,-0.027680921,-0.03,0.01
129,68.05,67.7,68.8,67.05,269.50K,0,0,0,0,0,0
130,67.96,68.15,69.4,67.66,231.97K,-0.0013,-0.132255694,-0.13,-0.001323432,0,0
131,68.02,68.19,68.78,67.12,229.78K,0.0009,0.088287228,0.09,0.000882483,0,0
132,71.1,67.87,71.79,67.54,374.24K,0.0453,4.528079976,4.53,0.044285557,0.04,0
133,71.31,71.33,72.52,70.66,331.98K,0.003,0.29535865,0.3,0.002949233,0,0.01
134,71.94,71.64,72.44,70.86,345.55K,0.0088,0.883466554,0.88,0.008795868,0.01,0.01
135,69.29,72.05,72.9,68.82,374.69K,-0.0368,-3.683625243,-3.68,-0.037531843,-0.04,0
136,68.86,69.15,69.51,68.02,255.72K,-0.0062,-0.62058017,-0.62,-0.006225138,-0.01,0
137,70.93,68.78,71.19,68.48,288.04K,0.0301,3.006099332,3.01,0.029618017,0.03,0.01
138,72.51,70.4,72.56,70.14,291.95K,0.0223,2.227548287,2.23,0.022031008,0.02,-0.01
139,72.47,72.31,73.16,71.66,235.71K,-0.0006,-0.055164805,-0.06,-0.0005518,0,0
140,72.04,72.4,72.66,71.27,165.70K,-0.0059,-0.593348972,-0.59,-0.005951163,-0.01,-0.01
141,69.71,71.78,72.2,68.96,142.85K,-0.0323,-3.23431427,-3.23,-0.032877741,-0.03,0.01
142,71.55,69.67,71.85,69.61,31.20K,0.0264,2.639506527,2.64,0.026052727,0.03,0.02
143,68.97,71.63,71.81,68.04,307.58K,-0.0361,-3.605870021,-3.61,-0.036724879,-0.04,0
144,65.89,68.33,68.77,65.6,357.46K,-0.0447,-4.465709729,-4.47,-0.045684943,-0.05,-0.02
145,66.02,65.92,67.09,65.05,315.32K,0.002,0.197298528,0.2,0.001971041,0,0.01
146,66.84,66.15,67.54,65.41,231.41K,0.0124,1.242047864,1.24,0.012343977,0.01,-0.01
147,66.71,67.11,67.33,65.82,247.35K,-0.0019,-0.194494315,-0.19,-0.001946837,0,0
148,70.61,66.71,70.72,66.22,386.69K,0.0585,5.84619997,5.85,0.056816911,0.06,-0.01
149,70.82,70.4,71.39,69.13,334.69K,0.003,0.297408299,0.3,0.002969669,0,0.02
150,69.95,70.35,70.69,68.32,312.01K,-0.0123,-1.228466535,-1.23,-0.012360746,-0.01,0.01
151,70.41,69.81,71,68.05,346.92K,0.0066,0.65761258,0.66,0.006554597,0.01,0
152,70.88,70.26,71.97,70.06,313.29K,0.0067,0.667518818,0.67,0.006653008,0.01,0.01
153,69.57,71.16,71.76,68.88,346.92K,-0.0185,-1.848194131,-1.85,-0.018654866,-0.02,0
154,71.69,69.8,72.55,69.17,405.21K,0.0305,3.047290499,3.05,0.030017828,0.03,-0.01
155,71.77,71.42,72.35,70.62,322.28K,0.0011,0.111591575,0.11,0.001115294,0,-0.01
156,73.27,72.24,73.84,72.05,260.23K,0.0209,2.090009753,2.09,0.020684687,0.02,-0.01
157,74.15,73.17,74.55,72.83,361.15K,0.012,1.201037259,1.2,0.01193882,0.01,0
158,75.18,74.4,75.53,74.4,296.01K,0.0139,1.389076197,1.39,0.01379517,0.01,0
159,77.58,75.34,77.97,74.79,355.57K,0.0319,3.192338388,3.19,0.031424424,0.03,-0.02
160,78.53,77.76,78.75,76.82,238.42K,0.0122,1.224542408,1.22,0.012171055,0.01,0
161,79.61,78.56,79.69,78.05,131.53K,0.0138,1.375270597,1.38,0.013658996,0.01,-0.01
162,79.09,79.61,80.05,78.05,40.16K,-0.0065,-0.653184273,-0.65,-0.006553269,-0.01,-0.01
163,81.37,78.69,82,77.64,395.74K,0.0288,2.882791756,2.88,0.02842021,0.03,-0.03
164,81.19,81.04,81.5,79.86,295.41K,-0.0022,-0.221211749,-0.22,-0.002214568,0,0.03
165,80.5,81.26,81.78,79.55,293.75K,-0.0085,-0.849858357,-0.85,-0.008534902,-0.01,0.01
